iter	Logloss
0	0.6867958784
1	0.6801197712
2	0.673625966
3	0.6697168613
4	0.6659250545
5	0.6618478129
6	0.6574847118
7	0.6543013262
8	0.651022968
9	0.6486104389
10	0.6452905771
11	0.6416489386
12	0.6394836797
13	0.6370689946
14	0.6348440446
15	0.632320579
16	0.630378171
17	0.6288147748
18	0.6268732903
19	0.6245478408
20	0.6222249823
21	0.6217372103
22	0.6202414949
23	0.6190438477
24	0.6178196536
25	0.616287308
26	0.6147934947
27	0.6138403732
28	0.6128268977
29	0.6114614111
30	0.6106233318
31	0.6094702963
32	0.6086053753
33	0.6072664209
34	0.6050679934
35	0.6046078129
36	0.603726289
37	0.6019751455
38	0.6008941158
39	0.6000563641
40	0.5995517174
41	0.5990171526
42	0.5980318592
43	0.5971683552
44	0.5965916237
45	0.5957918357
46	0.5949626994
47	0.594277258
48	0.5939001176
49	0.5929957427
50	0.5924467459
51	0.5919504749
52	0.59107777
53	0.5905415077
54	0.5901690397
55	0.5898693296
56	0.5893576281
57	0.5889318906
58	0.5885987015
59	0.5880710164
60	0.5870520213
61	0.5860398237
62	0.5851668117
63	0.5848338364
64	0.5845406236
65	0.5842504169
66	0.5834790471
67	0.5829460294
68	0.5818744201
69	0.5815968781
70	0.5811791517
71	0.5806150271
72	0.5799395974
73	0.5795893225
74	0.579054985
75	0.5783271236
76	0.5777439597
77	0.576978636
78	0.5765562477
79	0.5759118537
80	0.5753911632
81	0.574952433
82	0.5740745108
83	0.5735269474
84	0.5728143673
85	0.5724523625
86	0.5719669689
87	0.5712418786
88	0.5698947527
89	0.56938164
90	0.5692048801
91	0.5688785924
92	0.5676794865
93	0.5668432528
94	0.5667005264
95	0.5666232269
96	0.5665891621
97	0.5660474151
98	0.5656247533
99	0.5653853116
100	0.5647674056
101	0.5644041494
102	0.5641895133
103	0.5634902454
104	0.5629869942
105	0.5620972674
106	0.5616416869
107	0.560622263
108	0.5605363535
109	0.5600912141
110	0.5598876179
111	0.5592807932
112	0.5588875303
113	0.5575067608
114	0.5567800133
115	0.5563538666
116	0.5562618369
117	0.5558823529
118	0.5553619507
119	0.5551528777
120	0.5547670178
121	0.5543233425
122	0.5537487703
123	0.5533402866
124	0.5532966858
125	0.5530143066
126	0.5528024252
127	0.5521470958
128	0.5511864362
129	0.5507806994
130	0.5501654239
131	0.5493543819
132	0.5492091314
133	0.5489492605
134	0.5484921021
135	0.5481094084
136	0.5474491104
137	0.5469730558
138	0.5466940355
139	0.5462865286
140	0.5462622121
141	0.5462141561
142	0.5460193656
143	0.545546581
144	0.5450488158
145	0.5446958869
146	0.5445231342
147	0.5443965929
148	0.5440444552
149	0.5438766383
150	0.5436133257
151	0.5434836345
152	0.5428480484
153	0.5422917579
154	0.541593097
155	0.541117638
156	0.5409971305
157	0.5406377173
158	0.5401407038
159	0.5394353701
160	0.5386541839
161	0.5384430645
162	0.5380749659
163	0.5377819867
164	0.5376370512
165	0.5371983617
166	0.5369310241
167	0.5366076737
168	0.5359150502
169	0.5355474359
170	0.5349275721
171	0.5347254929
172	0.5339864715
173	0.5336866231
174	0.5334889841
175	0.5331650209
176	0.5329401749
177	0.5323726067
178	0.5319049706
179	0.5312566025
180	0.530891201
181	0.5304808225
182	0.5302845846
183	0.5300825579
184	0.5292710271
185	0.5287194026
186	0.528322199
187	0.5279085566
188	0.5278598791
189	0.5274318248
190	0.5268236432
191	0.5264204142
192	0.5262174335
193	0.525755645
194	0.5250077782
195	0.5235368771
196	0.5233938133
197	0.5229905426
198	0.5223316673
199	0.5219900399
200	0.5217866091
201	0.52167161
202	0.5214081735
203	0.520792103
204	0.5203092119
205	0.5199211662
206	0.5195424291
207	0.5192541067
208	0.5190028179
209	0.5183830497
210	0.5178628939
211	0.5177195575
212	0.5173021841
213	0.5168080993
214	0.5165663747
215	0.5162743014
216	0.5157662768
217	0.5148327952
218	0.5145151326
219	0.5142816562
220	0.5138631753
221	0.5135592376
222	0.5134066707
223	0.5127753887
224	0.5126533133
225	0.5121994915
226	0.5118964855
227	0.5113200541
228	0.5106797958
229	0.5102175325
230	0.5095061292
231	0.5087967297
232	0.5081896985
233	0.5077708901
234	0.5072808371
235	0.506513395
236	0.5059632411
237	0.5051071063
238	0.504691037
239	0.5039084505
240	0.5031047037
241	0.5026614598
242	0.5020568903
243	0.5018737926
244	0.5010658777
245	0.5006553456
246	0.5000684341
247	0.4995051624
248	0.4990758976
249	0.4986826088
250	0.498264734
251	0.4972602561
252	0.4965844679
253	0.4959070934
254	0.4955559294
255	0.4952684053
256	0.4948315519
257	0.4943955005
258	0.4938884569
259	0.4936574631
260	0.4934119775
261	0.4931026106
262	0.4928866896
263	0.4926557126
264	0.4922504616
265	0.4917361094
266	0.4914464414
267	0.4910691013
268	0.4903303658
269	0.4897280592
270	0.4885672949
271	0.4880003806
272	0.487432397
273	0.4869146747
274	0.4860707665
275	0.4857165252
276	0.4852135594
277	0.4847948836
278	0.484342558
279	0.4840230516
280	0.4835410588
281	0.4832449168
282	0.4830211216
283	0.4822610679
284	0.4815671846
285	0.4811477452
286	0.4807521219
287	0.4800847941
288	0.4798303207
289	0.4793316078
290	0.478833917
291	0.4784393893
292	0.4778315655
293	0.4775495931
294	0.477222273
295	0.4766488993
296	0.4759507293
297	0.4756115092
298	0.4752677752
299	0.474774079
300	0.4743279024
301	0.4740446906
302	0.4737843085
303	0.4734929538
304	0.4733513971
305	0.4729882901
306	0.472746809
307	0.4722784854
308	0.4720677543
309	0.471799508
310	0.4714394277
311	0.4711003972
312	0.4705351297
313	0.4701265824
314	0.4696156375
315	0.4694926662
316	0.4693274478
317	0.4690884678
318	0.4686312807
319	0.4682710098
320	0.4679177383
321	0.4676083565
322	0.4672766405
323	0.4668163238
324	0.4664176667
325	0.4659996044
326	0.465878619
327	0.4656114499
328	0.4651006998
329	0.4647204606
330	0.4645377482
331	0.46430615
332	0.4638273145
333	0.4633704157
334	0.4628212419
335	0.4623455608
336	0.4619673207
337	0.4617274706
338	0.4612727928
339	0.4610086958
340	0.460736775
341	0.4603777137
342	0.4601388991
343	0.4599194038
344	0.4597390616
345	0.4594174002
346	0.4592539121
347	0.4590692599
348	0.4588033055
349	0.4586428161
350	0.4582128666
351	0.4577290759
352	0.4574418518
353	0.4570033346
354	0.4565463098
355	0.4564371084
356	0.4562746478
357	0.456010476
358	0.4556444214
359	0.4552676437
360	0.4550740869
361	0.4548353446
362	0.4545434875
363	0.4539981442
364	0.4535921788
365	0.4532528045
366	0.4527365089
367	0.4523720886
368	0.4520977187
369	0.4518682426
370	0.4517625423
371	0.4514060102
372	0.451197266
373	0.450985574
374	0.4508405821
375	0.4505833269
376	0.4500828345
377	0.4495986364
378	0.4491607336
379	0.4489524667
380	0.4488146926
381	0.4484776044
382	0.4480628855
383	0.4477784002
384	0.4475421687
385	0.4473049699
386	0.44700415
387	0.4465561505
388	0.4461011841
389	0.4459616609
390	0.4458275386
391	0.4454798131
392	0.4451410025
393	0.4449983072
394	0.4445606046
395	0.4440385695
396	0.4439253936
397	0.4436139325
398	0.443504122
399	0.4433873041
400	0.4430095843
401	0.4429257288
402	0.4425873722
403	0.4423586847
404	0.4421326034
405	0.4419864023
406	0.4415663595
407	0.4410073974
408	0.4406344148
409	0.4405361656
410	0.440129316
411	0.4398229207
412	0.4397387642
413	0.4396391185
414	0.4391513363
415	0.4389793922
416	0.4387358998
417	0.4385882085
418	0.4384575444
419	0.4380987897
420	0.4378715932
421	0.4375617483
422	0.4374257924
423	0.4370732504
424	0.4368533267
425	0.4364973139
426	0.436271913
427	0.4361905162
428	0.4359600887
429	0.4356708079
430	0.4349771861
431	0.4348136371
432	0.4346673349
433	0.4343066457
434	0.434113152
435	0.4336885064
436	0.4334547846
437	0.4333515945
438	0.4329914087
439	0.4328453081
440	0.4323136626
441	0.4319621005
442	0.4316363256
443	0.431325527
444	0.4310178872
445	0.4306051513
446	0.4300716098
447	0.4298470986
448	0.4295840965
449	0.4294226245
450	0.4293728449
451	0.4290831589
452	0.4288717262
453	0.428692441
454	0.428633276
455	0.4285847178
456	0.4284654985
457	0.4283559754
458	0.4282511755
459	0.428021631
460	0.4278647856
461	0.4275913226
462	0.4274171933
463	0.4272058466
464	0.4270309085
465	0.4269039553
466	0.4268325838
467	0.4266966986
468	0.4264974629
469	0.4261761253
470	0.4258584023
471	0.4255718523
472	0.425352584
473	0.4249360947
474	0.4247749279
475	0.4244341895
476	0.4242744448
477	0.4241372047
478	0.4238888776
479	0.4236659244
480	0.4234390886
481	0.4232031303
482	0.4229576088
483	0.4227949093
484	0.4225474842
485	0.4224795938
486	0.4222065219
487	0.4220234446
488	0.4218430769
489	0.4217108784
490	0.4214953444
491	0.4212131306
492	0.421130149
493	0.4208186171
494	0.4206138363
495	0.420364047
496	0.4201952612
497	0.4199534664
498	0.4198088522
499	0.4196096831
